                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4489,                 2.9424,                 1.0143,                0.00604,                0.59445,                0.00651,                0.00383,                 1.5358,                 3.7687,                0.98809,             0.00053979,             0.00053979,             0.00053979
                      2,                 1.2881,                  1.547,                0.94966,                0.74252,                0.19039,                0.23705,                0.12125,                 1.7712,                 3.2564,                 1.1277,              0.0010846,              0.0010846,              0.0010846
                      3,                 1.2873,                 1.2629,                0.95002,                0.77527,                0.21534,                 0.4033,                0.19135,                 1.7768,                 2.5991,                 1.2063,              0.0016184,              0.0016184,              0.0016184
                      4,                 1.2594,                 1.0587,                0.95039,                0.57706,                0.55218,                0.54703,                0.25269,                 1.7276,                  1.553,                 1.1123,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2387,                0.92162,                0.93863,                0.77115,                0.34304,                0.38527,                0.18829,                 1.7574,                 1.9322,                 1.0673,               0.001601,               0.001601,               0.001601
                      6,                  1.202,                0.85618,                0.93493,                0.59854,                0.54492,                0.47327,                0.23583,                 1.6777,                 1.3229,                 1.0651,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1697,                0.79893,                0.92318,                 0.6507,                0.63946,                0.61676,                0.31453,                 1.6052,                 1.1227,                 1.0626,               0.001568,               0.001568,               0.001568
                      8,                 1.1607,                0.82356,                0.92953,                0.76432,                 0.5615,                0.57592,                0.31379,                 1.5387,                 1.3359,                 1.0319,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1455,                0.77324,                0.91772,                0.62165,                0.62333,                0.63654,                0.32256,                  1.647,                 1.0735,                 1.0755,               0.001535,               0.001535,               0.001535
                     10,                 1.1264,                0.73684,                0.91266,                0.64702,                0.59183,                0.58239,                0.26848,                 1.7237,                 1.4211,                 1.0786,              0.0015185,              0.0015185,              0.0015185
