                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0907,                 1.0051,                 1.2504,                0.69793,                0.79802,                0.76255,                0.35408,                 2.3768,                 1.4368,                 2.4048,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.0361,                0.82671,                 1.1231,                0.69755,                0.80477,                0.73844,                  0.358,                 2.3855,                  1.418,                 2.3994,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                 1.0055,                0.90825,                 1.1312,                0.70666,                 0.8027,                0.76911,                0.34337,                 2.4137,                  1.417,                 2.4172,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                 1.1058,                0.91482,                 1.1981,                0.74451,                0.67583,                0.73937,                0.35243,                 2.4134,                 1.5172,                 2.3384,             0.00011322,             0.00011322,             0.00011322
                      5,                 1.2008,                0.89436,                  1.207,                0.81055,                 0.7909,                0.75247,                0.35738,                 2.3924,                 1.4742,                  2.322,             0.00014409,             0.00014409,             0.00014409
                      6,                 1.1661,                0.93834,                 1.1632,                0.76892,                0.79905,                0.75203,                0.32524,                 2.3686,                 1.4882,                 2.3157,             0.00017429,             0.00017429,             0.00017429
                      7,                 1.1433,                 0.9003,                 1.1529,                0.64643,                0.76471,                0.72519,                0.28319,                 2.4518,                 1.5545,                 2.4372,             0.00020384,             0.00020384,             0.00020384
                      8,                 1.1084,                 0.8615,                 1.1079,                0.76921,                0.67654,                0.74283,                0.25953,                 2.5131,                 1.6592,                 2.5433,             0.00023272,             0.00023272,             0.00023272
                      9,                 1.1149,                0.89156,                 1.1764,                0.56828,                0.56106,                0.56777,                0.23903,                 2.5303,                 1.7337,                 2.5546,             0.00026095,             0.00026095,             0.00026095
                     10,                 1.0658,                0.86304,                  1.152,                0.60561,                0.53077,                0.51496,                0.25158,                  2.502,                 1.6643,                 2.4889,             0.00028851,             0.00028851,             0.00028851
                     11,                  1.219,                0.85416,                 1.1881,                0.68293,                0.64359,                0.62214,                0.30318,                 2.3573,                 1.6493,                 2.3842,             0.00031541,             0.00031541,             0.00031541
                     12,                 1.1171,                0.83582,                 1.1755,                0.77623,                0.62731,                0.64875,                0.31285,                 2.3481,                 1.8366,                 2.3687,             0.00034166,             0.00034166,             0.00034166
                     13,                 1.1416,                0.85507,                 1.1331,                0.80726,                0.64209,                 0.6924,                0.30893,                 2.3755,                 1.8844,                 2.3665,             0.00036724,             0.00036724,             0.00036724
                     14,                 1.0694,                 0.8464,                 1.1219,                0.74537,                0.59827,                0.59657,                0.29372,                 2.4372,                 1.7611,                 2.4485,             0.00039216,             0.00039216,             0.00039216
                     15,                 1.1112,                0.95417,                 1.1728,                0.77606,                0.65641,                 0.6719,                0.27148,                 2.4261,                 1.8031,                 2.4808,             0.00041643,             0.00041643,             0.00041643
                     16,                 1.0296,                0.83399,                  1.108,                0.75676,                 0.6635,                0.70442,                0.29484,                  2.418,                 1.6437,                 2.5221,             0.00044003,             0.00044003,             0.00044003
                     17,                 1.0897,                0.79326,                 1.1532,                0.83623,                0.57649,                0.68631,                0.28754,                 2.4427,                 1.7309,                 2.5157,             0.00046297,             0.00046297,             0.00046297
                     18,                 1.2054,                0.96538,                 1.2865,                0.71356,                 0.5211,                0.53668,                0.22392,                 2.5952,                 1.8319,                 2.6676,             0.00048526,             0.00048526,             0.00048526
                     19,                 1.1062,                0.83427,                 1.1183,                0.62269,                0.69761,                0.59389,                0.19392,                 2.5953,                 1.9636,                 2.6391,             0.00050688,             0.00050688,             0.00050688
                     20,                 1.1006,                0.84046,                 1.1453,                0.55762,                0.72608,                0.60419,                0.21904,                 2.4942,                 2.0002,                 2.5196,             0.00052784,             0.00052784,             0.00052784
                     21,                 1.4557,                0.97024,                 1.2408,                0.53329,                0.64251,                0.60762,                0.24595,                 2.5678,                  1.789,                 2.5528,             0.00054814,             0.00054814,             0.00054814
                     22,                 1.2358,                0.86824,                 1.1974,                0.55951,                0.65609,                0.58411,                 0.2467,                 2.5817,                 1.7443,                 2.6612,             0.00056779,             0.00056779,             0.00056779
                     23,                 1.1736,                0.91576,                 1.1694,                0.72498,                0.63077,                 0.6234,                0.23601,                 2.5459,                  1.707,                 2.6668,             0.00058677,             0.00058677,             0.00058677
                     24,                 1.1118,                0.84206,                 1.1429,                0.77399,                0.62571,                0.63645,                0.23669,                 2.5545,                 1.6862,                 2.6512,             0.00060509,             0.00060509,             0.00060509
                     25,                 1.2161,                 1.0482,                 1.2017,                0.71274,                0.60513,                 0.6084,                0.26182,                 2.5398,                 1.7175,                 2.5857,             0.00062275,             0.00062275,             0.00062275
                     26,                 1.2246,                0.85355,                 1.2192,                0.72253,                0.54062,                 0.6088,                0.27969,                  2.448,                 2.0894,                 2.4548,             0.00063975,             0.00063975,             0.00063975
                     27,                 1.1289,                0.87644,                 1.1456,                0.81463,                0.58756,                0.60895,                0.28552,                 2.3641,                  1.988,                 2.3723,             0.00065609,             0.00065609,             0.00065609
                     28,                 1.1963,                0.87154,                 1.1361,                0.77917,                0.65641,                0.63236,                0.27793,                 2.4305,                 1.7079,                 2.4238,             0.00067178,             0.00067178,             0.00067178
                     29,                  1.254,                0.97861,                 1.2654,                0.70306,                0.72051,                0.64386,                0.31303,                 2.3231,                 1.6355,                  2.266,              0.0006868,              0.0006868,              0.0006868
                     30,                 1.2462,                0.87925,                  1.186,                0.60131,                0.56073,                0.62926,                0.32519,                 2.3786,                 1.8039,                 2.3098,             0.00070116,             0.00070116,             0.00070116
                     31,                 1.2401,                0.94753,                 1.1686,                0.71076,                0.50623,                0.63826,                 0.3256,                 2.3833,                 1.9577,                 2.2917,             0.00071486,             0.00071486,             0.00071486
                     32,                 1.2779,                0.93773,                 1.2288,                0.75384,                0.56378,                 0.6083,                0.27543,                 2.4498,                 1.9714,                 2.3545,              0.0007279,              0.0007279,              0.0007279
                     33,                 1.2547,                0.95682,                 1.1767,                0.51556,                0.54235,                0.56656,                0.20978,                    2.5,                 2.0714,                 2.4683,             0.00074028,             0.00074028,             0.00074028
                     34,                 1.2322,                0.85412,                 1.1937,                0.56364,                0.57171,                0.59621,                0.23641,                 2.4806,                 1.7002,                 2.4564,               0.000752,               0.000752,               0.000752
                     35,                 1.1432,                0.91627,                 1.1738,                0.45628,                0.56706,                 0.4949,                0.18446,                 2.5955,                 1.7044,                 2.5404,             0.00076306,             0.00076306,             0.00076306
                     36,                 1.1509,                0.84473,                 1.2102,                0.50475,                0.40513,                0.49401,                0.21971,                  2.497,                 1.7293,                 2.4527,             0.00077346,             0.00077346,             0.00077346
                     37,                 1.2105,                0.92758,                 1.1857,                 0.5992,                0.54359,                0.52817,                0.19289,                 2.4755,                 1.9377,                 2.3631,              0.0007832,              0.0007832,              0.0007832
                     38,                 1.1537,                0.81619,                  1.234,                0.70927,                0.40513,                0.48303,                0.13812,                 2.5039,                 2.2012,                 2.3675,             0.00079228,             0.00079228,             0.00079228
                     39,                 1.1318,                0.81724,                  1.109,                0.60814,                0.45641,                0.47389,                0.12001,                 2.5106,                 2.2429,                  2.386,              0.0008007,              0.0008007,              0.0008007
                     40,                 1.1256,                   0.88,                 1.1677,                 0.6207,                0.42641,                0.38128,                0.11269,                 2.5206,                 2.3064,                 2.3878,             0.00080846,             0.00080846,             0.00080846
                     41,                 1.0853,                0.85332,                  1.117,                0.53714,                0.58205,                0.42869,                0.15482,                 2.5841,                 2.4317,                 2.6098,             0.00081556,             0.00081556,             0.00081556
                     42,                 1.2428,                0.88883,                 1.1843,                 0.4484,                0.65355,                0.49087,                0.21229,                 2.5625,                 2.3477,                 2.6601,               0.000822,               0.000822,               0.000822
                     43,                 1.1812,                0.90605,                 1.2086,                0.67646,                0.69682,                0.63829,                0.25846,                 2.5571,                 2.1572,                 2.6685,             0.00082778,             0.00082778,             0.00082778
                     44,                 1.1688,                0.78414,                 1.1447,                0.56109,                0.64103,                0.54728,                0.21672,                 2.5368,                 2.1694,                 2.6881,              0.0008329,              0.0008329,              0.0008329
                     45,                 1.0797,                0.77965,                 1.1038,                0.54362,                0.67949,                0.49807,                0.21045,                 2.5251,                 2.1465,                  2.663,             0.00083736,             0.00083736,             0.00083736
                     46,                 1.2119,                0.82651,                  1.219,                0.60622,                0.34724,                0.42251,                0.17908,                 2.5011,                 2.3076,                 2.6624,             0.00084116,             0.00084116,             0.00084116
                     47,                 1.1433,                0.84898,                 1.1323,                 0.7394,                 0.5232,                0.62644,                0.25569,                  2.511,                 2.1408,                 2.5979,              0.0008443,              0.0008443,              0.0008443
                     48,                 1.0925,                 0.7663,                 1.1361,                0.71759,                0.66894,                0.64321,                0.31709,                 2.5014,                 1.9936,                  2.593,             0.00084678,             0.00084678,             0.00084678
                     49,                 1.2443,                0.87096,                 1.2028,                0.78664,                0.51538,                0.60689,                0.28814,                 2.5676,                 2.1146,                 2.6946,              0.0008486,              0.0008486,              0.0008486
                     50,                 1.1701,                 0.7784,                 1.1675,                0.88722,                0.43846,                0.51957,                0.24197,                 2.4215,                 2.7976,                 2.4842,             0.00084975,             0.00084975,             0.00084975
                     51,                 1.3348,                0.84214,                 1.3116,                0.96982,                    0.4,                0.49313,                0.25385,                 2.4291,                 2.9667,                 2.5211,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2612,                0.77911,                 1.2504,                0.67094,                0.42564,                0.41384,                0.23572,                 2.4573,                 3.3278,                 2.4463,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3134,                0.86402,                 1.2303,                0.51875,                0.42564,                0.37204,                0.19637,                 2.4335,                 3.0286,                 2.3254,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2186,                0.89044,                 1.1448,                0.44194,                0.45128,                0.42476,                0.20101,                 2.5929,                 2.8569,                 2.4718,             0.00079233,             0.00079233,             0.00079233
