                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7089,                 3.0275,                 1.1905,                0.00725,                0.99857,                0.62029,                 0.2416,                 1.1834,                 3.1886,                0.90372,              0.0003334,              0.0003334,              0.0003334
                      2,                 1.3113,                 1.3816,                 1.0035,                0.00746,                0.98805,                0.12037,                0.07044,                 1.1177,                 3.3155,                0.94575,              0.0006767,              0.0006767,              0.0006767
                      3,                 1.2314,                 1.1564,                0.98075,                0.00709,                0.99857,                0.72785,                0.46377,                 1.2206,                 2.8389,                0.99065,              0.0010131,              0.0010131,              0.0010131
                      4,                 1.2153,                 1.0285,                0.97151,                0.91852,                0.46269,                0.80562,                0.55049,                 1.0243,                 1.9046,                0.94191,              0.0013425,              0.0013425,              0.0013425
                      5,                 1.1615,                0.95078,                0.96421,                0.82021,                 0.6376,                0.68093,                0.41847,                 1.3068,                 1.5101,                 1.0298,               0.001601,               0.001601,               0.001601
                      6,                 1.1632,                0.88399,                0.96133,                0.88423,                0.63996,                0.74874,                0.47618,                 1.2476,                 1.3628,                 1.0287,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1699,                0.85676,                0.97069,                0.75102,                0.74544,                0.76866,                0.54489,                 1.0234,                 1.1458,                0.95915,               0.001568,               0.001568,               0.001568
                      8,                 1.1261,                0.77713,                0.95614,                0.87597,                0.69667,                0.76875,                 0.5345,                 1.0155,                 1.1895,                0.96442,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0652,                0.72522,                0.94827,                0.76214,                0.60178,                0.58315,                 0.4342,                0.97659,                 1.1357,                0.94564,               0.001535,               0.001535,               0.001535
                     10,                 1.0712,                0.71098,                0.94258,                0.62434,                0.73148,                0.73366,                0.51651,                 1.0224,                 1.2212,                0.98822,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0424,                0.68157,                0.94261,                0.82756,                0.72223,                0.73828,                0.51208,                0.99078,                 2.0087,                0.96099,               0.001502,               0.001502,               0.001502
                     12,                 1.0214,                0.67443,                0.93225,                0.92005,                0.71101,                0.78933,                0.54172,                 1.1281,                0.87065,                0.99292,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0036,                 0.6455,                0.92791,                  0.874,                 0.7961,                0.87876,                0.66061,                0.96917,                0.66132,                0.93304,               0.001469,               0.001469,               0.001469
                     14,                   1.01,                0.64486,                0.92945,                0.86253,                0.75629,                0.83211,                0.60249,                 1.0608,                0.70307,                0.95232,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0004,                0.63458,                 0.9276,                 0.7617,                0.81728,                  0.828,                0.55616,                 1.1822,                0.79504,                0.98464,               0.001436,               0.001436,               0.001436
                     16,                0.96108,                0.59691,                0.91751,                0.79794,                 0.7518,                0.84254,                0.62897,                0.90191,                0.75785,                0.90967,              0.0014195,              0.0014195,              0.0014195
                     17,                0.96134,                0.60107,                0.91119,                0.81663,                0.75037,                0.83702,                0.61967,                0.99158,                0.78685,                0.92789,              0.0014029,              0.0014029,              0.0014029
                     18,                0.94153,                0.59463,                0.91389,                0.85914,                 0.8476,                0.90261,                0.66206,                0.95896,                0.61667,                0.92542,              0.0013864,              0.0013864,              0.0013864
                     19,                0.93195,                0.57327,                0.90911,                0.86612,                 0.7977,                0.87272,                0.65502,                0.94781,                0.69633,                0.93097,              0.0013699,              0.0013699,              0.0013699
                     20,                0.94901,                0.57671,                0.91467,                0.77921,                0.84303,                0.84795,                0.65003,                0.84118,                0.61878,                0.89359,              0.0013534,              0.0013534,              0.0013534
                     21,                0.91699,                0.56759,                0.90693,                0.77787,                0.74761,                0.81234,                0.57503,                0.98048,                0.67807,                0.94394,              0.0013369,              0.0013369,              0.0013369
                     22,                0.92316,                0.55554,                0.90542,                0.85954,                0.78846,                0.84558,                0.67676,                0.83905,                0.62425,                0.89986,              0.0013204,              0.0013204,              0.0013204
                     23,                0.91822,                0.55955,                0.90943,                0.74989,                0.71473,                0.75576,                0.51712,                 1.0415,                0.85653,                0.96226,              0.0013039,              0.0013039,              0.0013039
                     24,                 0.8935,                0.54504,                0.89757,                0.77733,                0.71359,                0.76592,                0.55918,                0.95761,                0.83037,                0.94393,              0.0012874,              0.0012874,              0.0012874
                     25,                0.90757,                0.55019,                0.90258,                0.71337,                  0.766,                0.81927,                0.62356,                 0.8469,                0.83695,                0.91274,              0.0012709,              0.0012709,              0.0012709
                     26,                0.88786,                0.53518,                0.89554,                0.75307,                0.79724,                0.82293,                0.64028,                0.95125,                0.68771,                0.92593,              0.0012544,              0.0012544,              0.0012544
                     27,                0.90221,                0.54255,                0.89825,                0.82675,                0.82014,                0.85246,                 0.6041,                 1.0898,                0.72343,                0.95951,              0.0012379,              0.0012379,              0.0012379
                     28,                0.87871,                 0.5257,                0.89689,                0.82346,                0.73709,                0.80632,                0.62335,                0.89341,                0.78823,                0.91497,              0.0012214,              0.0012214,              0.0012214
                     29,                0.86947,                0.51516,                0.89042,                0.89321,                0.73939,                0.84229,                0.66801,                0.79854,                0.60392,                0.88378,              0.0012049,              0.0012049,              0.0012049
                     30,                0.87001,                 0.5176,                0.89266,                0.78737,                  0.808,                0.84772,                0.67501,                0.80872,                0.59418,                0.88393,              0.0011884,              0.0011884,              0.0011884
                     31,                0.86272,                0.51631,                0.89152,                0.81382,                 0.7946,                0.83351,                0.60104,                 1.0059,                 0.6344,                0.94059,              0.0011719,              0.0011719,              0.0011719
                     32,                0.83323,                 0.5055,                0.88449,                0.84052,                0.79102,                0.84803,                0.63544,                0.88629,                0.60721,                0.90981,              0.0011554,              0.0011554,              0.0011554
                     33,                 0.8484,                0.52176,                 0.8897,                0.76131,                0.72581,                0.82304,                0.59735,                0.95397,                0.87654,                0.93466,              0.0011389,              0.0011389,              0.0011389
                     34,                0.83503,                0.50369,                0.88589,                0.78791,                 0.7862,                0.81782,                0.63596,                0.86216,                0.61738,                0.92334,              0.0011224,              0.0011224,              0.0011224
                     35,                0.82602,                0.49506,                0.88605,                0.85786,                0.72909,                0.82893,                 0.6369,                0.92041,                0.62931,                0.93158,              0.0011059,              0.0011059,              0.0011059
                     36,                0.83464,                0.49729,                0.88682,                0.85776,                0.75438,                0.84991,                0.68094,                0.80608,                0.60531,                0.89268,              0.0010894,              0.0010894,              0.0010894
                     37,                0.82604,                0.48455,                0.87748,                0.75964,                0.80257,                0.84551,                0.65352,                0.86494,                0.62612,                0.90495,              0.0010729,              0.0010729,              0.0010729
                     38,                0.81398,                0.49372,                0.88228,                0.83369,                0.70475,                0.81811,                0.62485,                0.90271,                0.64497,                0.91436,              0.0010564,              0.0010564,              0.0010564
