                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.589,                 2.6729,                 1.2213,                 0.3217,                0.75772,                0.31304,                0.24281,                 1.0113,                 9.2907,                 1.0038,              0.0003334,              0.0003334,              0.0003334
                      2,                 1.2151,                0.92734,                 1.0011,                0.57234,                0.86289,                0.75126,                0.55764,                0.92131,                 1.1536,                0.94913,              0.0006767,              0.0006767,              0.0006767
                      3,                  1.162,                0.79253,                 0.9836,                0.51289,                0.55572,                0.54184,                0.36854,                 1.2127,                 2.2388,                 1.0819,              0.0010131,              0.0010131,              0.0010131
                      4,                 1.1308,                 0.7523,                0.97145,                0.88727,                  0.403,                 0.6335,                0.43158,                 1.1665,                 2.3348,                 1.0355,              0.0013425,              0.0013425,              0.0013425
                      5,                 1.1062,                0.73098,                0.96462,                0.56672,                0.67863,                0.65917,                0.43618,                 1.0828,                 1.6322,                 1.0416,               0.001601,               0.001601,               0.001601
                      6,                 1.1401,                0.71994,                0.97508,                0.29313,                 0.2674,                 0.2103,                0.13106,                 1.5906,                 2.6921,                 1.2812,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1244,                0.71439,                0.97874,                0.65637,                0.69723,                0.73981,                 0.5083,                  1.026,                 1.8985,                 1.0013,               0.001568,               0.001568,               0.001568
                      8,                 1.0431,                0.66066,                0.95217,                0.54421,                0.73994,                0.57457,                0.40215,                0.97771,                 2.0151,                 1.0079,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0209,                0.63138,                 0.9491,                0.66548,                0.78287,                0.77214,                0.52282,                 1.0306,                0.97201,                 1.0398,               0.001535,               0.001535,               0.001535
                     10,                  1.001,                0.61655,                0.93954,                 0.7938,                0.79257,                0.85936,                0.55783,                 1.1957,                0.86789,                 1.0769,              0.0015185,              0.0015185,              0.0015185
                     11,                0.97715,                0.60322,                0.94127,                0.90278,                0.72668,                0.86536,                0.60628,                0.98439,                0.82447,                0.98358,               0.001502,               0.001502,               0.001502
                     12,                0.97837,                0.61015,                0.93053,                0.81418,                0.79883,                0.87816,                0.61307,                 1.0082,                0.74796,                0.99167,              0.0014855,              0.0014855,              0.0014855
                     13,                0.94163,                0.58029,                0.92309,                0.63809,                0.80685,                 0.7429,                0.54598,                0.91467,                0.75409,                 0.9458,               0.001469,               0.001469,               0.001469
                     14,                0.93518,                0.57015,                0.92361,                0.68314,                0.81472,                 0.8065,                 0.5671,                0.97287,                 0.7376,                 1.0223,              0.0014525,              0.0014525,              0.0014525
                     15,                0.91452,                0.55894,                  0.917,                0.87207,                0.75623,                0.81303,                0.61667,                0.91845,                0.78091,                0.93706,               0.001436,               0.001436,               0.001436
                     16,                0.88544,                0.53641,                0.91064,                0.77829,                0.81559,                0.85268,                0.65302,                0.92823,                0.66393,                0.94127,              0.0014195,              0.0014195,              0.0014195
                     17,                0.89679,                0.54107,                0.90853,                0.86138,                0.78312,                0.86465,                0.64602,                 0.9174,                0.64813,                0.95715,              0.0014029,              0.0014029,              0.0014029
