                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6031,                 2.7558,                 1.1097,                 0.0036,                  0.915,                0.00839,                0.00427,                 1.2327,                 3.9558,                 1.0294,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.3146,                 1.2723,                 1.0141,                0.00379,                 0.9625,                0.18175,                0.11604,                 1.3205,                 3.4408,                 1.0937,              0.0013048,              0.0013048,              0.0013048
                      3,                 1.3123,                 1.0356,                 1.0266,                 0.9403,                0.11814,                0.48342,                0.19116,                 1.9288,                 3.0388,                 1.6243,              0.0019452,              0.0019452,              0.0019452
                      4,                 1.2954,                0.89204,                 1.0286,                 0.8551,                0.87046,                0.89401,                0.49215,                 1.4416,                 1.0018,                  1.275,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2294,                 0.7834,                 1.0071,                0.93856,                 0.9125,                0.95737,                0.58666,                  1.229,                0.81199,                 1.0554,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2077,                0.72884,                 1.0063,                0.85379,                 0.9475,                0.94593,                0.53988,                  1.382,                0.75218,                 1.1745,               0.001901,               0.001901,               0.001901
                      7,                 1.1777,                0.71443,                0.99236,                0.93991,                0.97767,                0.97382,                0.60548,                 1.2198,                0.69551,                 1.0815,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1358,                 0.6682,                0.97735,                0.93569,                 0.9725,                0.97746,                0.64203,                 1.1636,                0.62489,                 1.0355,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1109,                0.64251,                0.96944,                0.93009,                0.93126,                0.96412,                0.65521,                 1.1258,                0.69682,                 1.0115,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0912,                0.62842,                0.96747,                0.96005,                 0.9725,                0.98293,                0.66302,                 1.1123,                0.60991,                 1.0266,              0.0018218,              0.0018218,              0.0018218
                     11,                   1.08,                 0.6137,                0.96236,                 0.9412,                0.92036,                0.96229,                0.62667,                 1.1819,                0.67095,                 1.0363,               0.001802,               0.001802,               0.001802
                     12,                 1.0511,                0.59403,                0.94708,                0.95716,                  0.985,                0.98184,                0.65114,                 1.1405,                0.66852,                 1.0314,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0627,                0.60866,                0.95296,                0.95184,                0.93873,                0.96477,                0.67144,                 1.0476,                0.63246,                0.97785,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.025,                0.57699,                0.94312,                0.97838,                  0.975,                0.98309,                0.68834,                 1.0748,                0.60342,                0.99016,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0141,                0.57229,                0.94089,                0.96671,                   0.96,                0.98837,                0.71172,                  1.064,                0.55048,                0.99911,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0186,                0.56774,                0.94356,                0.94643,                0.97168,                0.97352,                0.69132,                 1.0416,                0.55086,                0.97972,               0.001703,               0.001703,               0.001703
                     17,                 1.0003,                0.55466,                0.93229,                0.95705,                  0.975,                0.96247,                0.64639,                 1.1405,                0.58066,                 1.0295,              0.0016832,              0.0016832,              0.0016832
                     18,                0.98918,                 0.5456,                0.93621,                0.93776,                   0.93,                0.96925,                0.65699,                 1.1277,                0.58771,                 1.0158,              0.0016634,              0.0016634,              0.0016634
                     19,                0.99314,                0.55305,                0.93107,                0.94604,                0.87661,                0.93723,                0.65281,                 1.1016,                0.82599,                 1.0133,              0.0016436,              0.0016436,              0.0016436
                     20,                0.96754,                0.53882,                0.92655,                 0.9626,                0.96516,                0.98011,                0.69789,                 1.0549,                0.54383,                 1.0169,              0.0016238,              0.0016238,              0.0016238
                     21,                 0.9669,                0.53655,                0.92629,                0.96746,                  0.985,                0.98142,                0.69809,                 1.0148,                0.50714,                0.97157,               0.001604,               0.001604,               0.001604
                     22,                0.95863,                0.52496,                0.92072,                0.97482,                 0.9875,                0.98585,                0.68756,                 1.0364,                0.49732,                 1.0317,              0.0015842,              0.0015842,              0.0015842
                     23,                0.95179,                0.52654,                0.92301,                0.96758,                  0.985,                0.99093,                0.73108,                0.93557,                 0.5009,                0.94827,              0.0015644,              0.0015644,              0.0015644
                     24,                0.96445,                0.52847,                0.92666,                0.92434,                 0.8725,                0.92705,                0.63461,                 1.0977,                0.83284,                 1.0091,              0.0015446,              0.0015446,              0.0015446
                     25,                0.95291,                0.51871,                0.92286,                0.98693,                   0.99,                 0.9936,                0.74062,                0.94947,                0.44877,                0.94642,              0.0015248,              0.0015248,              0.0015248
                     26,                0.93332,                0.51044,                0.91579,                0.96085,                0.98183,                0.98422,                0.71346,                 1.0012,                0.50227,                 0.9746,               0.001505,               0.001505,               0.001505
                     27,                0.91962,                0.50235,                0.91045,                0.95987,                 0.9875,                0.98391,                0.69173,                 1.0374,                0.50086,                0.97339,              0.0014852,              0.0014852,              0.0014852
                     28,                0.92465,                0.50408,                0.90911,                 0.9777,                0.98666,                0.99226,                0.74244,                0.99573,                0.48909,                0.97717,              0.0014654,              0.0014654,              0.0014654
                     29,                0.93393,                0.50305,                0.91212,                0.96442,                 0.9875,                0.98315,                0.73619,                 1.0061,                0.48055,                0.98243,              0.0014456,              0.0014456,              0.0014456
                     30,                0.92128,                0.50352,                 0.9149,                0.97053,                 0.9875,                0.98388,                0.72443,                0.97756,                0.47763,                0.97251,              0.0014258,              0.0014258,              0.0014258
                     31,                0.90904,                0.49202,                0.90761,                0.98746,                0.98437,                0.99339,                 0.7321,                0.99191,                0.46917,                0.96891,               0.001406,               0.001406,               0.001406
                     32,                 0.8971,                0.49085,                0.90286,                0.98263,                0.98984,                0.98646,                0.73089,                0.95727,                0.47018,                  0.956,              0.0013862,              0.0013862,              0.0013862
                     33,                0.90025,                0.49071,                0.90676,                0.97294,                0.98887,                 0.9935,                0.73266,                 1.0078,                0.47367,                 0.9703,              0.0013664,              0.0013664,              0.0013664
                     34,                0.89289,                0.48606,                0.89911,                0.97969,                   0.99,                0.98993,                0.72412,                0.99739,                0.47363,                0.96668,              0.0013466,              0.0013466,              0.0013466
                     35,                0.88757,                0.48298,                0.90352,                0.98472,                  0.985,                0.99249,                0.72715,                 1.0164,                 0.4788,                0.98952,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88684,                0.47605,                0.90416,                0.98425,                 0.9825,                0.99319,                0.73502,                0.98141,                0.44976,                0.97544,               0.001307,               0.001307,               0.001307
                     37,                0.87342,                0.47577,                  0.897,                0.96024,                0.96597,                0.98094,                0.74925,                0.96296,                0.49363,                0.94931,              0.0012872,              0.0012872,              0.0012872
                     38,                0.87548,                0.47997,                0.89831,                 0.9753,                0.98712,                0.99369,                0.74947,                0.94026,                 0.4508,                0.95494,              0.0012674,              0.0012674,              0.0012674
                     39,                0.86788,                0.47023,                0.90006,                0.96752,                   0.99,                0.98311,                0.75357,                0.91211,                0.46149,                0.93641,              0.0012476,              0.0012476,              0.0012476
                     40,                0.86066,                0.46437,                0.90147,                0.96307,                0.97794,                 0.9873,                0.74401,                 0.9376,                0.45423,                0.94091,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.8609,                0.46564,                0.89132,                0.98908,                   0.99,                0.98653,                0.72492,                 1.0078,                0.45542,                0.95517,               0.001208,               0.001208,               0.001208
                     42,                0.85067,                0.46279,                0.89013,                0.97022,                0.97752,                0.98819,                0.73131,                0.99226,                 0.4638,                0.95588,              0.0011882,              0.0011882,              0.0011882
                     43,                0.85757,                 0.4615,                0.89531,                0.98976,                   0.99,                0.98915,                0.75238,                0.95337,                0.44411,                0.93863,              0.0011684,              0.0011684,              0.0011684
                     44,                0.84477,                0.45428,                0.89162,                0.97803,                  0.975,                0.99338,                0.74835,                0.95573,                0.45204,                0.94194,              0.0011486,              0.0011486,              0.0011486
                     45,                0.85194,                0.45871,                0.89454,                0.97482,                0.96794,                 0.9826,                0.74518,                0.91468,                0.49341,                0.93243,              0.0011288,              0.0011288,              0.0011288
                     46,                0.85206,                0.45571,                0.89106,                0.99225,                 0.9925,                0.99328,                0.76114,                0.91447,                0.42545,                0.92994,               0.001109,               0.001109,               0.001109
                     47,                0.83501,                0.45314,                0.89075,                0.97752,                0.97847,                0.98883,                0.75605,                0.94673,                0.45518,                0.94772,              0.0010892,              0.0010892,              0.0010892
                     48,                0.83537,                0.44915,                0.88704,                 0.9898,                   0.99,                0.99233,                 0.7786,                0.90818,                0.41723,                0.94422,              0.0010694,              0.0010694,              0.0010694
                     49,                0.82889,                0.44378,                0.88816,                0.98267,                0.99223,                0.99386,                0.76556,                0.91745,                0.43766,                0.93204,              0.0010496,              0.0010496,              0.0010496
                     50,                0.81818,                0.44328,                0.88139,                0.98507,                0.98953,                 0.9921,                0.75485,                0.91737,                0.41661,                0.92491,              0.0010298,              0.0010298,              0.0010298
                     51,                0.81902,                0.44194,                0.88189,                0.98354,                  0.985,                0.99331,                0.77887,                0.90075,                0.42654,                0.92853,                0.00101,                0.00101,                0.00101
                     52,                0.80965,                0.43718,                0.88531,                0.98145,                 0.9825,                0.99101,                0.76683,                0.92053,                0.41967,                0.92844,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.8104,                0.43553,                0.88364,                   0.99,                0.98989,                0.98978,                0.76535,                0.89738,                0.40653,                0.93256,              0.0009704,              0.0009704,              0.0009704
                     54,                0.80689,                0.42915,                0.88404,                0.99148,                   0.99,                0.99352,                0.78129,                 0.8917,                  0.408,                0.91491,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.8051,                0.42663,                 0.8849,                0.98601,                 0.9875,                0.99057,                0.76391,                0.89659,                0.41823,                0.92389,              0.0009308,              0.0009308,              0.0009308
                     56,                0.79245,                0.42376,                0.87958,                 0.9925,                0.99209,                0.99374,                0.77107,                0.90739,                0.40435,                 0.9313,               0.000911,               0.000911,               0.000911
                     57,                0.78606,                 0.4229,                0.87313,                0.98492,                0.97999,                 0.9923,                0.77872,                0.87127,                0.42878,                0.91368,              0.0008912,              0.0008912,              0.0008912
                     58,                0.79911,                0.42645,                0.88109,                0.98903,                 0.9925,                0.99379,                 0.7726,                0.87789,                0.40398,                0.91792,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.7897,                 0.4246,                0.87893,                0.98466,                 0.9925,                0.99366,                0.76975,                0.89828,                0.40516,                0.92336,              0.0008516,              0.0008516,              0.0008516
                     60,                0.79152,                0.42398,                0.87984,                 0.9925,                0.99245,                0.99409,                0.77979,                0.88176,                0.40654,                0.91698,              0.0008318,              0.0008318,              0.0008318
                     61,                0.76969,                0.41779,                 0.8702,                0.98253,                0.98417,                0.99395,                0.78401,                0.85329,                0.40455,                0.91015,               0.000812,               0.000812,               0.000812
                     62,                0.78858,                0.41955,                0.87739,                 0.9875,                0.98785,                 0.9936,                0.77759,                 0.8686,                0.40066,                0.91642,              0.0007922,              0.0007922,              0.0007922
                     63,                0.77978,                0.41653,                0.87477,                0.98998,                0.98777,                0.99376,                 0.7787,                0.89242,                0.39912,                0.92383,              0.0007724,              0.0007724,              0.0007724
                     64,                0.76636,                0.41348,                0.87116,                 0.9851,                0.99173,                 0.9937,                0.77588,                0.87632,                0.39847,                0.91992,              0.0007526,              0.0007526,              0.0007526
                     65,                0.75981,                0.40726,                0.86722,                0.99168,                 0.9925,                0.99375,                0.78777,                 0.8746,                0.38367,                0.91659,              0.0007328,              0.0007328,              0.0007328
                     66,                0.76831,                0.41104,                0.86882,                0.98977,                 0.9925,                0.99373,                0.79694,                0.85104,                0.38331,                0.91184,               0.000713,               0.000713,               0.000713
                     67,                0.76098,                0.40772,                0.87132,                0.98972,                 0.9875,                0.99198,                 0.7877,                0.87648,                 0.3903,                0.91998,              0.0006932,              0.0006932,              0.0006932
                     68,                0.75102,                0.40289,                0.86889,                0.98728,                 0.9925,                0.99315,                0.78328,                0.88348,                0.38826,                0.92857,              0.0006734,              0.0006734,              0.0006734
                     69,                0.74767,                 0.4027,                 0.8678,                   0.99,                0.98972,                0.99298,                0.80398,                0.85839,                0.38995,                 0.9156,              0.0006536,              0.0006536,              0.0006536
                     70,                0.75932,                0.40345,                0.87063,                0.98952,                 0.9925,                0.99337,                0.77579,                0.86849,                0.38844,                0.91956,              0.0006338,              0.0006338,              0.0006338
                     71,                0.75268,                0.40384,                0.86616,                0.99244,                0.98499,                0.99306,                0.78194,                0.90635,                0.40667,                0.93374,               0.000614,               0.000614,               0.000614
                     72,                0.74187,                 0.3967,                0.86435,                0.99202,                 0.9925,                0.99447,                0.78237,                 0.8942,                0.38447,                0.93205,              0.0005942,              0.0005942,              0.0005942
                     73,                0.75124,                0.40011,                0.87024,                0.99217,                 0.9925,                0.99454,                 0.7851,                0.87894,                0.37153,                0.92364,              0.0005744,              0.0005744,              0.0005744
                     74,                0.73603,                0.39482,                0.86677,                0.98735,                   0.98,                0.99187,                0.76919,                0.91459,                0.41437,                0.92873,              0.0005546,              0.0005546,              0.0005546
                     75,                  0.732,                0.38969,                 0.8638,                0.99228,                 0.9925,                0.99369,                0.78678,                 0.8548,                0.38704,                 0.9183,              0.0005348,              0.0005348,              0.0005348
