                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3109,                  1.905,                 1.0249,                0.65844,                0.56082,                0.52216,                0.29001,                  1.424,                  1.202,                 1.1123,             0.00054845,             0.00054845,             0.00054845
                      2,                 1.1829,                0.79586,                0.97149,                0.73654,                0.53754,                0.54167,                 0.2906,                 1.4905,                  2.422,                 1.1569,              0.0010677,              0.0010677,              0.0010677
                      3,                 1.2122,                 0.7936,                 0.9842,                0.50872,                0.45564,                0.44999,                0.22865,                 1.6646,                 2.5387,                 1.2339,              0.0015502,              0.0015502,              0.0015502
                      4,                 1.1927,                0.75859,                0.98463,                0.43661,                  0.087,                0.13741,                0.07746,                 1.8502,                 7.3038,                 1.2999,               0.001502,               0.001502,               0.001502
                      5,                 1.1453,                0.70669,                0.96991,                 0.7464,                0.66278,                0.67036,                0.38569,                  1.302,                0.83751,                 1.0577,               0.001447,               0.001447,               0.001447
                      6,                 1.0896,                 0.6621,                 0.9493,                0.70142,                0.60946,                0.57735,                0.35129,                 1.3318,                0.92288,                  1.085,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.0605,                0.63885,                0.93722,                0.76384,                0.62012,                0.63983,                0.36212,                 1.3778,                0.91195,                  1.075,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.0327,                0.62029,                0.93624,                0.81068,                0.63961,                0.64076,                0.37385,                 1.2823,                0.80641,                 1.0311,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.0185,                0.59813,                0.92598,                0.79538,                0.61323,                0.60951,                0.35542,                 1.2818,                0.83632,                 1.0421,              0.0012269,              0.0012269,              0.0012269
                     10,                0.98279,                0.58555,                0.91672,                0.79185,                0.63255,                0.61818,                0.38083,                 1.2181,                0.86995,                 1.0238,              0.0011719,              0.0011719,              0.0011719
                     11,                 0.9595,                0.55877,                0.91078,                0.86536,                0.63005,                0.63394,                0.37536,                 1.3071,                0.87861,                 1.0552,              0.0011169,              0.0011169,              0.0011169
                     12,                0.94912,                0.55434,                 0.9093,                 0.8417,                0.64824,                 0.6321,                0.39051,                 1.1818,                0.78073,                 1.0109,              0.0010619,              0.0010619,              0.0010619
                     13,                0.92959,                0.54475,                0.90363,                0.83049,                0.63918,                0.63506,                0.38039,                 1.2821,                0.82898,                 1.0464,              0.0010069,              0.0010069,              0.0010069
                     14,                0.90977,                0.52495,                0.90053,                0.78314,                0.65215,                0.62843,                0.38148,                 1.2457,                0.81227,                 1.0311,             0.00095186,             0.00095186,             0.00095186
                     15,                0.90575,                0.51402,                0.89659,                0.84083,                0.65978,                0.63424,                0.39095,                 1.1642,                0.76077,                0.99351,             0.00089685,             0.00089685,             0.00089685
                     16,                0.88071,                0.50419,                0.88749,                0.79425,                0.65376,                0.63198,                0.39083,                 1.2104,                0.79786,                 1.0066,             0.00084184,             0.00084184,             0.00084184
                     17,                0.86501,                0.49294,                0.88544,                0.84044,                0.64261,                0.62179,                0.39817,                  1.162,                0.73136,                0.99667,             0.00078682,             0.00078682,             0.00078682
                     18,                0.85855,                0.48512,                0.88181,                0.83187,                0.64741,                0.64786,                0.40589,                 1.1728,                0.79026,                0.99266,             0.00073181,             0.00073181,             0.00073181
                     19,                0.84688,                0.47521,                0.87999,                0.84473,                0.63575,                0.65612,                0.39947,                 1.2051,                 0.8153,                 1.0051,              0.0006768,              0.0006768,              0.0006768
                     20,                 0.8228,                0.46435,                0.87575,                0.81343,                0.65545,                0.63538,                0.39757,                 1.1601,                0.75384,                0.99494,             0.00062179,             0.00062179,             0.00062179
                     21,                0.79329,                0.44922,                0.87703,                0.84198,                0.64925,                0.64277,                0.40398,                 1.2086,                0.79126,                 1.0094,             0.00056678,             0.00056678,             0.00056678
                     22,                0.78223,                0.44477,                0.87069,                0.82785,                  0.654,                0.63389,                0.40131,                 1.1684,                0.73216,                0.98549,             0.00051177,             0.00051177,             0.00051177
                     23,                  0.771,                 0.4332,                0.86716,                0.85587,                0.65315,                0.64138,                0.40823,                 1.1591,                0.71758,                 1.0038,             0.00045676,             0.00045676,             0.00045676
                     24,                0.75706,                0.42376,                0.86279,                0.83819,                0.64386,                 0.6841,                0.42956,                 1.1747,                0.74654,                 1.0009,             0.00040175,             0.00040175,             0.00040175
                     25,                 0.7387,                0.41131,                0.85864,                0.83061,                0.65535,                0.65177,                0.39664,                 1.2184,                0.73926,                 1.0109,             0.00034674,             0.00034674,             0.00034674
                     26,                0.73039,                0.40195,                0.85495,                0.86269,                0.64704,                0.67593,                0.42829,                 1.1712,                0.71778,                 1.0135,             0.00029172,             0.00029172,             0.00029172
                     27,                 0.7168,                0.39968,                0.85272,                0.86747,                0.65149,                0.66542,                0.40784,                 1.2121,                0.72793,                 1.0249,             0.00023671,             0.00023671,             0.00023671
                     28,                0.70277,                0.38668,                0.84724,                0.84838,                0.65641,                0.64368,                0.40516,                 1.1753,                0.71543,                  1.003,              0.0001817,              0.0001817,              0.0001817
                     29,                0.68495,                0.37397,                0.84584,                0.84834,                0.65799,                0.66402,                0.42756,                 1.1591,                0.69709,                 1.0094,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68319,                0.37071,                0.84409,                0.85352,                0.65761,                0.66512,                0.42297,                 1.1618,                 0.7014,                 1.0096,             7.1681e-05,             7.1681e-05,             7.1681e-05
